# File: EIA_use_all_Bbtu.csv,,,
# Title: EIA State Energy Data from SEDS,,,
# Units: Energy units in Billion BTU,,,
# Source:  https://www.eia.gov/state/seds/seds-data-complete.php?sid=US,,,
# Column types: ccciiiiiiiiiiiiiiiiinnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn,,,
# ----------,,,
Data_Status,State,MSN,2010
2011F,C,FNICB,0
2011F,C,FOICB,0
2011F,C,FSICB,0
2011F,C,GDPRX,91186
2011F,C,GECCB,0
2011F,C,GEEGB,0
2011F,C,GEICB,7
2011F,C,GERCB,766
2011F,C,GETCB,773
2011F,C,GETXB,773
2011F,C,HYCCB,0
2011F,C,HYEGB,35697
2011F,C,HYICB,0
2011F,C,HYTCB,35697
2011F,C,HYTXB,0
2011F,C,JFACB,5588
2011F,C,JFTCB,5588
2011F,C,JFTXB,5588
2011F,C,JKACB,5588
2011F,C,JKTCB,5588
2011F,C,JNACB,0
2011F,C,JNTCB,0
2011F,C,KSCCB,6
2011F,C,KSICB,7
2011F,C,KSRCB,31
2011F,C,KSTCB,45
2011F,C,KSTXB,45
2011F,C,LGACB,270
2011F,C,LGCCB,1118
2011F,C,LGICB,2610
2011F,C,LGRCB,6050
2011F,C,LGTCB,10049
2011F,C,LGTXB,10049
2011F,C,LOACB,3
2011F,C,LOCCB,85247
2011F,C,LOICB,117327
2011F,C,LORCB,134506
2011F,C,LOTCB,337083
2011F,C,LOTXB,337083
2011F,C,LUACB,2152
2011F,C,LUICB,1335
2011F,C,LUTCB,3487
2011F,C,LUTXB,3487
2011F,C,MBICB,0
2011F,C,MGACB,177405
2011F,C,MGCCB,836
2011F,C,MGICB,3942
2011F,C,MGTCB,182183
2011F,C,MGTXB,182183
2011F,C,MMTCB,173078
2011F,C,MSICB,1271
2011F,C,NAICB,0
2011F,C,NGACB,9631
2011F,C,NGCCB,40531
2011F,C,NGEIB,98514
2011F,C,NGICB,89590
2011F,C,NGLPB,5913
2011F,C,NGPZB,9615
2011F,C,NGRCB,36509
2011F,C,NGTCB,274774
2011F,C,NGTXB,176260
2011F,C,NGVHB,16
2011F,C,NNACB,9631
2011F,C,NNCCB,40531
2011F,C,NNEIB,98514
2011F,C,NNICB,89590
2011F,C,NNRCB,36509
2011F,C,NNTCB,274774
2011F,C,NUEGB,157017
2011F,C,NUETB,157017
2011F,C,P1ICB,16698
2011F,C,P1TCB,19322
2011F,C,P1TXB,19322
2011F,C,PAACB,284579
2011F,C,PACCB,5807
2011F,C,PAEIB,444
2011F,C,PAICB,56950
2011F,C,PARCB,6137
2011F,C,PATCB,353918
2011F,C,PATXB,353474
2011F,C,PCCCB,0
2011F,C,PCEIB,0
2011F,C,PCICB,1733
2011F,C,PCTCB,1733
2011F,C,PLICB,0
2011F,C,PMTCB,344814
2011F,C,POICB,10653
2011F,C,POTCB,10653
2011F,C,POTXB,10653
2011F,C,PPICB,0
2011F,C,RETCB,127737
2011F,C,RFACB,0
2011F,C,RFCCB,0
2011F,C,RFEIB,123
2011F,C,RFICB,5
2011F,C,RFTCB,128
2011F,C,RFTXB,5
2011F,C,SFCCB,0
2011F,C,SFEIB,0
2011F,C,SFINB,0
2011F,C,SFRCB,0
2011F,C,SFTCB,0
2011F,C,SGICB,7169
2011F,C,SNICB,101
2011F,C,SOCCB,0
2011F,C,SOEGB,0
2011F,C,SOHCB,118
2011F,C,SOICB,0
2011F,C,SOTCB,118
2011F,C,SOTXB,118
2011F,C,TEACB,294215
2011F,C,TEAPB,101
2011F,C,TECCB,174561
2011F,C,TECPB,60
2011F,C,TEEIB,579176
2011F,C,TEICB,399584
2011F,C,TEIPB,137
2011F,C,TERCB,252016
2011F,C,TERPB,86
2011F,C,TETCB,1120376
2011F,C,TETGR,12.28
2011F,C,TETPB,383
2011F,C,TETXB,1120377
2011F,C,TNACB,294212
2011F,C,TNCCB,89314
2011F,C,TNICB,282258
2011F,C,TNRCB,117510
2011F,C,TNTXB,783293
2011F,C,TPOPP,2923
2011F,C,UOICB,136
2011F,C,USICB,0
2011F,C,WDCCB,1336
2011F,C,WDEIB,0
2011F,C,WDICB,69962
2011F,C,WDRCB,8364
2011F,C,WSCCB,54
2011F,C,WSEIB,1088
2011F,C,WSICB,1241
2011F,C,WWCCB,1390
2011F,C,WWEIB,1088
2011F,C,WWICB,71203
2011F,C,WWTCB,82045
2011F,C,WWTXB,80957
2011F,C,WXICB,245
2011F,C,WYCCB,0
2011F,C,WYEGB,0
2011F,C,WYICB,0
2011F,C,WYTCB,0
2011F,C,WYTXB,0
